"term","estimate","standard_error","odds_ratio","conf_low","conf_high","p_value"
"food_securityMarginal food security",0.638670742540354,0.0541821509652219,1.89396164267704,1.70276535876771,2.10662654455684,6.70433288005731e-29
"food_securityLow food security",0.681494776116592,0.0690262752796529,1.97683044379324,1.72620068319273,2.26384952894347,2.35315945130275e-21
"food_securityVery low food security",0.954215492821317,0.0804886994541206,2.59663270666098,2.21694618308621,3.04134645429927,3.49858462140605e-29
"age_group35-49",0.360431932632355,0.0406372805813078,1.43394865003178,1.32394745914607,1.55308937429752,9.05690347405585e-18
"age_group50-64",0.726541792809095,0.0407045636392062,2.06791694285286,1.90903043085652,2.24002740523067,4.02550673295696e-57
"age_group65 or older",1.10893931447215,0.0425849554435405,3.03114160070526,2.78793115694561,3.2955689672022,1.3454258521768e-99
"sexFemale",0.0420878068765134,0.0271331082104184,1.04298605607798,0.98885920965176,1.10007562507931,0.121408673864249
"race_ethnicityNon-Hispanic Black",0.0919395563881636,0.05308745291841,1.09629855583379,0.987748152918626,1.21677830525111,0.0838317875694572
"race_ethnicityHispanic",0.0727917174244044,0.0455367621700147,1.07550650431968,0.983492438032782,1.17612926760031,0.110470463698735
"race_ethnicityNon-Hispanic Asian",0.38815220950516,0.0589762309656364,1.47425416270803,1.31300605283683,1.65530488725938,1.04298003042272e-10
"race_ethnicityNon-Hispanic AIAN, other, or multiple race",0.293299834645294,0.0830136900953387,1.34084476187976,1.13911968509921,1.57829304416226,0.000443334098683972
"educationSome college or associate degree",0.261983472637549,0.0316930125867904,1.29950506486068,1.22108085685015,1.38296608625469,9.45077065571451e-16
"educationHigh school graduate or GED",0.406125851674206,0.0376060839225064,1.50099144285774,1.39412245395728,1.61605266821216,6.73354209542479e-25
"educationLess than high school",0.743395051380166,0.0623409293172891,2.10306341620529,1.86070150383713,2.37699368945541,1.79376188568036e-29
"marital_statusLiving with partner",0.129542018562964,0.0518600731772641,1.13830694047977,1.02807240047408,1.26036132294468,0.0127684708193321
"marital_statusNeither married nor living with partner",0.194309015292087,0.031525680594417,1.214471515247,1.1415541322664,1.29204653520728,1.33256697961374e-09
"regionMidwest",0.00859573786076276,0.0418791721585708,1.00863278729511,0.928989749480171,1.09510368674785,0.837448115291524
"regionSouth",-0.0321515554062144,0.0380788256128036,0.968359810793001,0.898578912890753,1.04355968040957,0.398826393578287
"regionWest",0.0477102125733516,0.0374719998482552,1.04886666290887,0.974445061677205,1.12897208865533,0.203448979338668
"smoking_statusFormer smoker",0.273251002011488,0.0302984868450992,1.31423007782173,1.2383042209101,1.39481128165895,2.76486045886774e-18
"smoking_statusCurrent smoker",0.589921372441911,0.0484468033318999,1.80384657777018,1.6401190362004,1.9839184865943,1.55532949574216e-30
"alcohol_statusFormer drinker",0.276694027729083,0.0567137098940887,1.31876280444794,1.17975260094471,1.47415257487268,1.38091875590762e-06
"alcohol_statusCurrent drinker",-0.0627313591119395,0.0485681743804667,0.93919574618158,0.853745371379612,1.03319874896676,0.197005140396447
"physical_activityAny moderate or vigorous leisure-time activity",-0.606120891495778,0.034044234176058,0.545462679374031,0.510182948240556,0.583182044041207,6.78778284787313e-57
"bmi_categoryUnderweight",0.315273516490969,0.130769367968949,1.37063415073554,1.06017533339235,1.77200687093074,0.0162225684418878
"bmi_categoryOverweight",0.284468424983896,0.0328073071151706,1.32905534769343,1.24611763123476,1.41751314077967,4.29827305426457e-17
"bmi_categoryObesity",0.940350902219148,0.0364968522991921,2.56087987911666,2.3837355185833,2.75118850398394,3.69208043485006e-98
"sleep_categoryLess than 7 hours",0.310075524724459,0.0309086884540808,1.36352809032682,1.28321536043817,1.44886736118515,6.0093449855906e-22
"sleep_categoryMore than 9 hours",0.985073806411157,0.0869497929768063,2.67800953139971,2.25759249482409,3.17671814851887,5.12438348186851e-27
"insurance_statusNot covered",-0.177758290537649,0.0598425146418506,0.837144744842476,0.744313672559609,0.941553742264824,0.00309686214670244
