"variable","missing_n","missing_percent"
"Self-rated health",16,0.0490361335008735
"Food security",1351,4.14048852248
"Age",52,0.159367433877839
"Sex",5,0.015323791719023
"Race and ethnicity",0,0
"Education",147,0.450519476539275
"Marital status",1198,3.6715804958779
"Region",0,0
"Smoking status",753,2.30776303288486
"Alcohol status",877,2.68779306751663
"Physical activity",908,2.78280057617457
"BMI category",600,1.83885500628275
"Sleep duration",1126,3.45091789512397
"Insurance coverage",93,0.285022525973827
