"Characteristic","Overall","High food security","Marginal food security","Low food security","Very low food security"
"Age, weighted mean (SE)","48.3 (0.17)","49.2 (0.18)","43.7 (0.46)","44.6 (0.61)","41.7 (0.56)"
"18-34","6,241 (28.9)","4,993 (27.6)","544 (36.3)","377 (34.0)","327 (38.0)"
"35-49","6,685 (24.6)","5,482 (23.9)","481 (27.7)","389 (27.5)","333 (30.4)"
"50-64","7,169 (23.6)","6,027 (23.8)","449 (22.1)","398 (23.6)","295 (21.8)"
"65 or older","10,135 (22.9)","9,213 (24.8)","409 (13.9)","331 (14.9)","182 (9.8)"
"Female","16,236 (51.0)","13,528 (49.8)","1,098 (54.6)","933 (60.2)","677 (58.1)"
"Non-Hispanic White","20,382 (61.9)","18,060 (64.9)","990 (47.4)","705 (41.5)","627 (51.1)"
"Non-Hispanic Black","2,933 (11.4)","2,151 (9.9)","286 (16.7)","302 (22.4)","194 (20.2)"
"Hispanic","4,327 (17.7)","3,280 (15.9)","458 (28.5)","369 (28.9)","220 (20.7)"
"Non-Hispanic Asian","1,721 (6.2)","1,592 (6.8)","67 (4.1)","39 (2.4)","23 (2.1)"
"Non-Hispanic AIAN, other, or multiple race","867 (2.8)","632 (2.5)","82 (3.3)","80 (4.9)","73 (5.9)"
"Bachelor's degree or higher","11,661 (34.1)","10,907 (38.0)","369 (16.7)","219 (11.9)","166 (12.1)"
"Some college or associate degree","8,456 (29.1)","7,027 (28.7)","604 (32.9)","479 (29.5)","346 (30.9)"
"High school graduate or GED","7,708 (26.7)","6,093 (25.0)","651 (33.7)","519 (35.4)","445 (39.9)"
"Less than high school","2,405 (10.0)","1,688 (8.3)","259 (16.7)","278 (23.1)","180 (17.1)"
"Married","13,972 (52.6)","12,602 (55.5)","658 (41.4)","450 (37.6)","262 (29.0)"
"Living with partner","1,958 (8.6)","1,532 (7.9)","193 (12.4)","134 (11.8)","99 (12.8)"
"Neither married nor living with partner","14,300 (38.8)","11,581 (36.6)","1,032 (46.2)","911 (50.6)","776 (58.2)"
"Northeast","4,669 (16.9)","4,062 (17.3)","270 (15.5)","190 (14.2)","147 (15.5)"
"Midwest","7,019 (20.7)","6,069 (21.3)","382 (17.8)","303 (16.9)","265 (20.2)"
"South","10,937 (38.7)","9,060 (37.5)","758 (42.4)","662 (49.2)","457 (43.9)"
"West","7,605 (23.7)","6,524 (24.0)","473 (24.3)","340 (19.8)","268 (20.4)"
"Never smoker","19,275 (67.6)","16,784 (68.9)","1,114 (64.3)","831 (60.4)","546 (55.2)"
"Former smoker","7,776 (22.5)","6,710 (23.0)","463 (21.0)","326 (19.1)","277 (20.4)"
"Current smoker","3,179 (9.9)","2,221 (8.1)","306 (14.7)","338 (20.5)","314 (24.4)"
"Lifetime abstainer","3,402 (13.5)","2,787 (12.9)","260 (15.9)","231 (18.6)","124 (13.2)"
"Former drinker","6,232 (18.0)","5,131 (17.3)","436 (20.5)","360 (20.5)","305 (24.0)"
"Current drinker","20,596 (68.6)","17,797 (69.7)","1,187 (63.6)","904 (60.9)","708 (62.8)"
"No moderate or vigorous leisure-time activity","7,844 (25.5)","6,188 (23.5)","613 (32.2)","604 (40.0)","439 (37.7)"
"Healthy weight","9,395 (31.1)","8,286 (32.3)","472 (24.8)","361 (24.6)","276 (25.1)"
"Underweight","518 (1.7)","424 (1.6)","38 (2.1)","27 (1.8)","29 (3.4)"
"Overweight","10,176 (33.5)","8,837 (34.2)","594 (32.2)","448 (30.6)","297 (25.7)"
"Obesity","10,141 (33.6)","8,168 (31.9)","779 (40.9)","659 (43.0)","535 (45.8)"
"7-9 hours","19,800 (65.8)","17,436 (68.1)","1,063 (57.1)","805 (55.5)","496 (44.4)"
"Less than 7 hours","9,266 (30.4)","7,367 (28.4)","720 (37.8)","603 (38.4)","576 (49.5)"
"More than 9 hours","1,164 (3.8)","912 (3.4)","100 (5.1)","87 (6.1)","65 (6.1)"
"Not covered","2,104 (8.9)","1,494 (7.4)","220 (14.6)","210 (18.4)","180 (19.4)"
